"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-21.0047445790121,1.20912131320354,-17.3719083020383,1.34671701440585e-67
"mvpa_METS_log",-0.0103899399385761,0.0229770310332587,-0.452188097040775,0.651133482373501
"BMI_log",4.41010036212808,0.300914463588493,14.655660979324,1.23944575127357e-48
"gender2",-0.335871665411012,0.117414428373287,-2.86056552047591,0.00422886159859219
"age",0.0761965718009276,0.00810707972830303,9.39876926767032,5.52050017975264e-21
"racehisp1",-0.644638539224392,0.1641934556269,-3.92609155318113,8.63373046096584e-05
"racehisp2",-0.36238451432881,0.281282426294351,-1.28832973713611,0.197631205813062
"racehisp4",0.654769940566778,0.215532568977026,3.03791646744845,0.00238219978738488
"racehisp97",0.482146485267714,0.281714267408538,1.71147343619807,0.08699375083885
"emply2",0.192109106134335,0.123491335576214,1.55564846098674,0.119791708362811
"own2",0.181602912214554,0.145541902834867,1.24777063290565,0.212115066159221
"child_any1",-0.365543223652411,0.157256010851048,-2.32451034255633,0.0200981578958215
"disabled1",0.231074376166415,0.187098466956561,1.23504152612893,0.216815049745878
"disabled2",0.257269408652011,0.146211937206093,1.75956500931505,0.0784815886671619
"walk_index",0.046433826001801,0.0175808962943161,2.64115237496811,0.00826245495698802
"rail_any",-0.427061406734051,0.256856296178765,-1.66264721981675,0.0963830730971552
"regional_access",-0.0463571216610024,0.0333115072838313,-1.39162486002256,0.164036026751406
"park_access",-0.067006602422112,0.0337076057063191,-1.98787783997219,0.0468252021321047
