Model variable name,source,minimum,maximum,Adults,Adults L,Adults M,Adults H,Seniors,Teens,Children
gender2,ALL,0,1,0.99,0.99,0.99,0.99,1.12,0.97,0.97
racehisp1,ALL,0,1,1.02,1.02,1.02,1.02,1.54,0.72,0.44
racehisp2,ALL,0,1,1.03,1.03,1.03,1.03,0.87,1.08,0.64
racehisp4,ALL,0,1,1.07,1.07,1.07,1.07,1.02,0.82,0.54
racehisp97,ALL,0,1,0.96,0.96,0.96,0.96,0.4,1.32,0.9
emply2,ALL,0,1,0.81,0.81,0.81,0.81,2.07,1,1
educa2,ALL,0,1,0.98,0.98,0.98,0.98,1.09,0.81,0.79
educa3,ALL,0,1,1.03,1.03,1.03,1.03,0.83,0.86,0.82
educa4,ALL,0,1,1.03,1.03,1.03,1.03,0.86,1.02,1.11
educa5,ALL,0,1,0.97,0.97,0.97,0.97,1.17,1.01,1.08
own2,ALL,0,1,1.09,1.09,1.09,1.09,0.59,1,1.31
hhsize,ALL,0,10,0.99,0.99,0.99,0.99,0.67,1.25,1.32
hhveh,ALL,0,10,1.05,1.05,1.05,1.05,0.84,1.02,0.92
incom2,ALL,0,1,0.86,0.86,0.86,0.86,1.56,0.92,1.09
incom3,ALL,0,1,0.97,0.97,0.97,0.97,1.13,0.94,0.8
incom4,ALL,0,1,1.02,1.02,1.02,1.02,0.93,0.83,0.84
incom5,ALL,0,1,1.06,1.06,1.06,1.06,0.76,1.02,0.99
incom6,ALL,0,1,1.09,1.09,1.09,1.09,0.65,1.16,1.05
incom7,ALL,0,1,1.1,1.1,1.1,1.1,0.6,1.16,1.02
child_any1,ALL,0,1,1.21,1.21,1.21,1.21,1,1,1
emply_hh,ALL,0,1,1,1,1,1,1,1.14,1.14
educa_hh2,ALL,0,1,1,1,1,1,1,0.53,0.53
educa_hh3,ALL,0,1,1,1,1,1,1,0.96,0.96
educa_hh4,ALL,0,1,1,1,1,1,1,1.23,1.23
educa_hh5,ALL,0,1,1,1,1,1,1,1.75,1.75
disabled1,CHTS,0,1,0.76,0.76,0.76,0.76,0.62,0.34,0.31
disabled2,CHTS,0,1,0.81,0.81,0.81,0.81,0.46,0.93,0.8
disabled1,CHIS,0,1,2.77,2.77,2.77,2.77,1.37,1,1.46
disabled2,CHIS,0,1,3.85,3.85,3.85,3.85,1.43,1,1
